Nom,Archivé,Topic,Membres
incubateur-admin,false,"https://github.com/sgmap/beta.gouv.fr/wiki/Administration",22
startup-api_gouv,false,"https://api.gouv.fr",23
api-entreprise,false,"",8
api-medicaments,true,"",0
apiparticulier,true,"",0
api-particulier,false,"",11
babies,true,"",0
incubateur-bistro,false,"",18
startup-beta_gouv,false,"beta.gouv.fr",22
bof-octo,true,"",0
startup-bourse,false,"",4
startup-boussole,false,"https://beta.gouv.fr/startup/boussole",13
bureaux-mirabeau,false,"39 quai André Citroën, 75015, Salle XXX, XXX , Horaires de sieste/méditation: 13h - 14h",22
bureaux-mutinerie,false,"porte d'entrée : XXX wifi : XXX -&gt; XXX",16
bureaux-sully,false,"86 allée de Bercy, 75012 Paris. Salle XXX. WiFi : XXX",15
bruit-rachat,false,"",5
startup-chez_wam,false,"https://github.com/krichtof/chez-wam/wiki",11
choix-domaine,true,"",0
choix-nom-de-domain,true,"",0
bruit-commies,false,"Sans MS",9
data,true,"La donnée en général",0
domaine-ux,false,"Aime le problème, pas la solution ! UX, UI, custdev, lean startup, jobs-to-be-done, service design, ethno, etc.",34
startup-etu_ent,false,"Discussion internes de la start-up étudiant entrepreneur (tout ce qui n’intéresse que nous et pas l’incubateur) XXX",3
startup-embauche,false,"https://embauche.beta.gouv.fr",9
startup-etu_ent-info,false,"Discussions pouvant intéresser le reste de l’incubateur, meilleur endroit pour porter un sujet à l’attention de l’équipe.\r\nhttps://github.com/sgmap/etudiant-entrepreneur\r\n",6
incubateur-live,false,"Livestreaming / blogging / tweeting d'événements (hackathons, séminaires…).",14
incubateur-strategie,false,"Stratégie, vision partagée, futur de l’incubateur, amélioration continue, idées, bonheurs et douleurs, émanées aux rétrospectives et séminaires =&gt;  LIVE XXX",32
**incubateur-annonces**,false,"https://github.com/sgmap/beta.gouv.fr/wiki/",59
general,false,"Tu n'as trouvé aucun endroit où poster ? Allez, mets-le ici. On te redigera au besoin ;)",59
api-geo,false,"Travaux autour de la GéoAPI et de feu API Carto",13
incubateur-infra,false,"https://docs.google.com/spreadsheets/XXX",21
startup-inspire,false,":pineapple:",7
domaine-intrapreneur,false,"",9
startup-ludwig,false,"",3
marketplace,true,"",0
startup-mdph,false,"https://mdph.beta.gouv.fr",6
startup-mes_aid-info,false,"https://mes-aides.gouv.fr",11
startup-mes_aid,false,"",4
startup-mpal,false,"",9
mutinerie,true,"",0
incubateur-nouveaux,false,"https://github.com/sgmap/beta.gouv.fr/wiki/Bienvenue",33
startup-openacademie,false,"",7
domaine-opendata,false,"Actualités et discussions en rapport avec l’ouverture des données. L’équipe #datagouv est sur chat.code.gouv2.fr.",14
openfisca,false,"",3
startup-pix-info,false,"",12
startup-pix-ci,false,"",3
startup-pix,false,"",4
startup-plante_etmoi,false,"Tâches en cours : https://github.com/sgmap/plante-et-moi/projects/1",7
pole_emploi,true,"",10
bruit-politique,false,"",5
random,false,"",57
incubateur-recrutemt,false,"Qui pourrait nous rejoindre ?",18
repas-de-noel-2016,true,"",7
incubateur-reseaux,false,"https://github.com/sgmap/beta.gouv.fr/wiki/Réseaux-sociaux",15
startup-retraites,false,"",5
domaine-secu,false,"",8
service-public-donnee,true,"",12
taxi-internal,true,"",0
startup-taxis-info,false,"https://le.taxi",11
startup-taxis,false,"",2
domaine-dev,false,"",30
tes,true,"",14
startup-tps,false,"",32
true-pix,true,"",0
startup-urbaclic,false,"",11
ux,true,"",1
bruit-vacances,false,"On avait un peu bu au pot de Thibaut et on s'est dit que ça serait fun, ok @maukoquiroga ??",29
startup-verif_site,false,"Channel pour discuter du produit https://verif.site",9
incubateur-veille,true,"Revue de presse",_
